Category: All categories,,,
,,,
Month,diet,gym,finance
2004-01,100,30,48
2004-02,76,26,48
2004-03,68,24,47
2004-04,70,23,47
2004-05,73,23,43
2004-06,64,24,44
2004-07,62,23,44
2004-08,57,26,43
2004-09,55,26,44
2004-10,52,23,44
2004-11,49,25,43
2004-12,42,24,41
2005-01,63,33,44
2005-02,54,28,45
2005-03,57,27,46
2005-04,56,25,45
2005-05,59,25,44
2005-06,53,25,44
2005-07,53,24,43
2005-08,51,28,46
2005-09,45,27,44
2005-10,46,26,44
2005-11,43,25,41
2005-12,39,25,39
2006-01,64,33,43
2006-02,52,29,45
2006-03,51,28,47
2006-04,49,26,46
2006-05,49,25,46
2006-06,52,25,44
2006-07,51,27,44
2006-08,50,30,45
2006-09,45,30,46
2006-10,43,28,45
2006-11,43,27,44
2006-12,38,26,40
2007-01,57,35,47
2007-02,49,32,50
2007-03,51,31,48
2007-04,53,31,48
2007-05,49,31,46
2007-06,48,30,47
2007-07,49,31,49
2007-08,44,31,52
2007-09,45,32,51
2007-10,42,28,52
2007-11,40,27,50
2007-12,35,26,44
2008-01,54,35,53
2008-02,46,30,49
2008-03,45,29,52
2008-04,47,28,53
2008-05,44,27,49
2008-06,42,27,49
2008-07,44,28,53
2008-08,43,31,48
2008-09,41,32,62
2008-10,43,28,72
2008-11,40,28,58
2008-12,37,27,52
2009-01,52,36,54
2009-02,46,30,57
2009-03,49,30,61
2009-04,50,29,58
2009-05,48,28,54
2009-06,47,28,54
2009-07,47,28,57
2009-08,47,30,57
2009-09,44,30,59
2009-10,43,27,55
2009-11,42,28,52
2009-12,39,27,47
2010-01,59,36,52
2010-02,51,31,53
2010-03,50,30,54
2010-04,52,30,56
2010-05,50,28,53
2010-06,47,28,53
2010-07,49,30,51
2010-08,48,31,51
2010-09,46,32,52
2010-10,46,29,51
2010-11,44,29,50
2010-12,40,28,45
2011-01,59,39,50
2011-02,53,33,51
2011-03,54,33,52
2011-04,58,32,50
2011-05,56,31,49
2011-06,54,32,47
2011-07,53,31,48
2011-08,51,33,56
2011-09,50,36,52
2011-10,49,33,49
2011-11,47,33,46
2011-12,44,31,41
2012-01,64,43,45
2012-02,56,37,47
2012-03,56,35,47
2012-04,55,35,45
2012-05,55,34,48
2012-06,54,35,45
2012-07,54,36,44
2012-08,54,37,45
2012-09,51,38,47
2012-10,47,34,46
2012-11,45,33,42
2012-12,42,32,39
2013-01,64,43,47
2013-02,57,38,45
2013-03,58,38,45
2013-04,60,37,48
2013-05,57,37,46
2013-06,55,37,43
2013-07,55,38,45
2013-08,52,40,46
2013-09,50,40,46
2013-10,48,37,47
2013-11,46,37,44
2013-12,42,36,40
2014-01,62,47,46
2014-02,52,43,47
2014-03,54,41,47
2014-04,53,40,47
2014-05,50,39,44
2014-06,50,39,44
2014-07,48,40,45
2014-08,46,41,45
2014-09,46,41,48
2014-10,43,38,48
2014-11,42,37,44
2014-12,39,38,42
2015-01,56,49,45
2015-02,48,44,46
2015-03,51,44,46
2015-04,50,42,46
2015-05,48,42,44
2015-06,48,42,44
2015-07,47,43,47
2015-08,47,44,48
2015-09,43,45,49
2015-10,42,40,45
2015-11,39,41,41
2015-12,38,41,40
2016-01,52,52,44
2016-02,48,46,45
2016-03,47,46,43
2016-04,49,45,44
2016-05,47,45,42
2016-06,43,47,45
2016-07,43,57,41
2016-08,45,54,42
2016-09,42,51,43
2016-10,41,45,42
2016-11,38,45,43
2016-12,36,44,38
2017-01,54,56,43
2017-02,57,51,44
2017-03,51,49,45
2017-04,49,48,42
2017-05,48,48,44
2017-06,47,50,42
2017-07,49,52,43
2017-08,47,51,43
2017-09,43,50,47
2017-10,44,46,46
2017-11,42,47,48
2017-12,39,46,51
2018-01,59,58,55
2018-02,53,52,50
2018-03,55,52,49
2018-04,56,49,48
2018-05,54,49,45
2018-06,50,50,43
2018-07,53,51,43
2018-08,50,51,47
2018-09,48,51,45
2018-10,45,46,48
2018-11,43,47,43
2018-12,42,47,40
2019-01,64,59,46
2019-02,55,53,43
